Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
12,Indubitably,"Jul 12th, 2020 9:06 am",,"Jul 17th, 2020 8:05 am",Computers & Electronics,19.99,132,$23 off,,Home Theatre & Audio,Dudios True Wireless Earbuds - $19.99 with Prime,28905,0
13,zoomcool80,"Jul 16th, 2020 11:39 am",,"Jul 16th, 2020 3:46 pm",,$60,19,$20 off,Amazon.ca,Computers & Electronics,Eufy 2K Indoor Cam Pan & Tilt $59.99 (after $20 off coupon),3070,8
14,Thatdealguy,"Jul 13th, 2020 9:07 pm",,"Jul 16th, 2020 3:44 pm",,,71,,Costco,Groceries,"West (BC, AB, MB, SK) (July 13-19) (111)",23374,120
15,TeeKayTK,"Jul 14th, 2020 8:11 am",,"Jul 16th, 2020 3:38 pm",,740,27,,Dell,Computers & Electronics,Dell Ultrasharp 27 4K UHD Type C Monitor - U2720Q $740,4578,2
16,saku,"Jul 13th, 2020 7:53 am",,"Jul 16th, 2020 3:34 pm",Computers & Electronics,61.99,23,23%,Amazon.ca,Peripherals & Accessories,Anker Soundcore Life Q20 Bluetooth 5.0 Headphones,6155,10
17,homie,"Jul 16th, 2020 10:49 am",,"Jul 16th, 2020 5:49 pm",,11.22,44,,,Groceries,"Finish Dishwasher Detergent, Quantum Max, 80 Tablets - $11.22 after coupon + S&S",4509,0
18,pjw918,"Mar 19th, 2020 1:21 pm",,"Jul 16th, 2020 3:09 pm",Computers & Electronics,,1070,,Freedom Mobile,Cell Phones,Nationwide Unlimited Talk & Text - $99/year prepaid,286662,156
19,marksmithy69,"Feb 11th, 2020 1:48 pm",,"Jul 16th, 2020 2:52 pm",Home & Garden,,594,,Costco,Outdoors & Patio,Weber Genesis II CE-330 - $999.99,211563,33
20,DealCanuck,"Jul 15th, 2020 8:25 am",,"Jul 16th, 2020 2:37 pm",,459.96,37,,Amazon.ca,Computers & Electronics,LG 27GL83A-B 27-Inch 2.5k 144hz 1mz $459.96,5782,7
21,gena_mak,"Jul 15th, 2020 11:09 am",,"Jul 16th, 2020 2:37 pm",,$299.99,19,,Costco,Home & Garden,Lagostina 13-piece 5-ply Stainless-steel Commercial Cookware Set $299.99,3254,-1
22,SohSay,"Jul 13th, 2020 6:25 pm",,"Jul 16th, 2020 2:37 pm",Beauty & Wellness,,12,,,Beauty Supplies & Personal Care,50 Non medical masks $12.99 (Toronto),5001,10
23,cpfan,"Jul 2nd, 2020 3:47 pm",,"Jul 16th, 2020 2:27 pm",Home & Garden,138,20,$40 off,Home Depot,Home Improvement & Tools,Ryobi Cordless Power Cleaner is price $178 or $138? YMMV,7935,1
24,mikea,"Jul 10th, 2020 3:43 pm",,"Jul 16th, 2020 2:23 pm",Computers & Electronics,89.99,64,,,Computers & Tablets/eReaders,[amazon.ca/the source.ca]Amazon Fire HD 8 (newest edition) $89.99,13632,2
25,pjw918,"Jul 11th, 2020 3:54 pm",,"Jul 16th, 2020 2:18 pm",Computers & Electronics,$0,65,$600,Freedom Mobile,Cell Phones,"$65/20GB, with free Samsung A71",12003,7
26,g5spark,"Jul 15th, 2020 9:39 am",,"Jul 16th, 2020 2:10 pm",Home & Garden,,28,20%,Amazon.ca,Outdoors & Patio,Kamado Joe JoeTisserie (rotisserie attachment) - $262,4300,4
27,cky312,"May 28th, 2020 7:39 pm","July 30, 2020","Jul 16th, 2020 2:09 pm",,39.98,304,56%,,Home & Garden,[Miele] HOT!! Free HEPA Filter with purchase of Dust Bag Value Pack $39.98+tax,57029,175
28,Mrrfdxyz,"Jul 11th, 2020 5:09 pm","August 2, 2020","Jul 16th, 2020 1:58 pm",Computers & Electronics,399.99,24,100 off,Costco,Home Theatre & Audio,Sony HT-X9000F - 2.1 Ch soundbar-instore only-$399,6232,-4
29,chemicalxv,"Jul 10th, 2020 2:10 pm","July 23, 2020","Jul 16th, 2020 1:56 pm",Entertainment,24.99,6,,Best Buy,"Books, Music, Movies, Magazines",Best Buy 4k Disney/Pixar/Marvel Steelbooks $24.99 (all-time low for all),1989,11
0,chemicalxv,"Jul 10th, 2020 2:10 pm","July 23, 2020","Jul 16th, 2020 1:56 pm",Entertainment,24.99,6,,Best Buy,"Books, Music, Movies, Magazines",Best Buy 4k Disney/Pixar/Marvel Steelbooks $24.99 (all-time low for all),1992,11
1,Tomas8x,"Jul 16th, 2020 11:28 am",,"Jul 16th, 2020 1:54 pm",,$174.99,6,,Amazon.ca,Computers & Electronics,"Silicon Power 1TB NVMe PCIe Gen3x4 M.2 2280 TLC R/W up to 3,400/3,000MB/s SSD - $174.99",1090,-6
2,chadw01,"Jul 10th, 2020 5:15 pm","July 19, 2020","Jul 16th, 2020 1:39 pm",,$789.99,117,$200 off,,Beauty & Wellness,Capillus 82 - Laser Therapy Hair Regrowth Cap for Treatment of Hair Loss & Hair Thinning - $789.99,18721,-25
3,mk316,"Jul 5th, 2020 7:21 pm",,"Jul 16th, 2020 1:36 pm",Home & Garden,39.99,164,,Costco,Other,Brondell SimpleSpa Thinline Dual Nozzle Bidet $39.99,33468,87
4,choob,"Jul 16th, 2020 1:15 pm",,"Jul 16th, 2020 1:29 pm",,,1,,,Apparel,Tom's sample sale up to 70% off (Classics for $30),1252,1
5,vanquisher,"Jul 16th, 2020 12:40 am","July 24, 2020","Jul 16th, 2020 1:26 pm",Computers & Electronics,39.96,13,,Walmart,Video Games,Star Wars Jedi Fallen Order PS4 & XboxOne 39.96,2647,2
6,Kojima,"Jul 16th, 2020 12:03 pm",,"Jul 16th, 2020 1:23 pm",Home & Garden,$199,1,nearly35%,Best Buy,Appliances,OntarioOnly Insignia Dehumidifier-35-Pint $149.99 with 25% Ontario instant energy rebate,872,1
7,kragnorok,"Jul 7th, 2020 3:14 pm",,"Jul 16th, 2020 1:19 pm",Kids & Babies,$359.99,19,$70,,Baby Needs,Diono Radian 3RXT Convertible Car Seat - $359.99 and Free Shipping. Purple and Jet Black only,4650,4
8,GCSaves,"Jun 25th, 2020 8:14 am",,"Jul 16th, 2020 1:18 pm",,,25,,CIBC,Financial Services,CIBC eAdvantage Savings Account - 2.5% (Annualized) for 120 Days,7044,10
9,Alekxqin,"Jul 14th, 2020 7:13 pm","July 16, 2020","Jul 16th, 2020 1:09 pm",Computers & Electronics,,51,$10,123Ink.ca,Peripherals & Accessories,"RGB Gaming Mouse Pad, 7 LED Colors, 300*800*4mm $14.99 FS with coupon code",14499,59
10,RaySmith,"Jul 16th, 2020 11:53 am","July 31, 2020","Jul 16th, 2020 1:05 pm",Restaurants,,2,50% off,Papa John's Pizza,Other,Papa John's 50% Off Code - save50 - Guelph origination (YMMV),719,0
