,tabpfn_ausreisser_wert,tabpfn_ausreisser_wert_norm
228,1028928.3,3.7350282e-17
229,646985.8,2.0932808e-17
230,528667.7,1.5847004e-17
231,2823256800.0,1.2134842e-13
232,342404130.0,1.4711072e-14
233,1342793.5,5.084151e-17
234,516950660.0,2.2213805e-14
235,30773096.0,1.315878e-15
236,6846624.5,2.8741898e-16
237,12192185.0,5.1719334e-16
238,797951.06,2.742192e-17
239,812945.94,2.8066463e-17
240,1101199.8,4.0456808e-17
241,187451840.0,8.050581e-15
242,2153978000.0,9.258004e-14
243,16963146.0,7.22269e-16
244,229290260.0,9.848969e-15
245,1711139.0,6.667452e-17
246,8179164000000.0,3.5157438e-10
247,434877.38,1.18155074e-17
248,6846195700.0,2.94271e-13
249,2797129.0,1.1335489e-16
250,78753680.0,3.3782825e-15
251,3443060.0,1.4111967e-16
252,37923388.0,1.6232273e-15
253,2354465.5,9.432737e-17
254,99656760.0,4.2767833e-15
255,6161234.0,2.5795806e-16
256,136385940.0,5.8555557e-15
257,136912536000.0,5.8850615e-12
258,81322170.0,3.4886867e-15
259,54439892.0,2.3331751e-15
260,7554503.5,3.1784657e-16
261,89404184.0,3.836085e-15
262,1995960.6,7.891734e-17
263,191640900000.0,8.237513e-12
264,1781353.5,6.9692633e-17
265,4840981000000.0,2.0808542e-10
266,980549.25,3.527075e-17
267,254786.31,4.074447e-18
268,9978635.0,4.2204579e-16
269,287399.16,5.4762822e-18
270,23044844000.0,9.905562e-13
271,855709.5,2.9904617e-17
272,5009272.0,2.0844196e-16
273,117997640.0,5.0651503e-15
274,366001920.0,1.5725402e-14
275,12853973.0,5.456397e-16
276,96827050.0,4.1551506e-15
277,1086287.8,3.9815826e-17
278,97794230.0,4.1967243e-15
279,1588945800.0,6.82926e-14
280,800253.2,2.7520875e-17
281,4538962000.0,1.9509653e-13
282,46861044.0,2.0074048e-15
283,15748076.0,6.700403e-16
284,253297980.0,1.0880921e-14
285,262922190.0,1.1294609e-14
286,233671.95,3.1668643e-18
287,19669912.0,8.386171e-16
288,67173420.0,2.8805151e-15
289,1402162.5,5.3393437e-17
290,289715.4,5.575844e-18
291,15206688.0,6.467692e-16
292,573814.8,1.7787616e-17
293,776953.56,2.651936e-17
294,143996060000.0,6.189541e-12
295,2470497.5,9.9314904e-17
296,408850980.0,1.7567233e-14
297,9989397.0,4.225084e-16
298,1559555.5,6.015884e-17
299,85023770.0,3.6477965e-15
300,64931044.0,2.7841283e-15
301,1819405.5,7.132827e-17
302,11550316.0,4.8960315e-16
303,1215483500.0,5.2239646e-14
304,7015614.5,2.9468287e-16
305,2199266.8,8.765628e-17
306,6070244000.0,2.6091737e-13
307,378576.34,9.3954565e-18
308,307874.25,6.3563867e-18
309,96503260.0,4.141233e-15
310,14689376.0,6.2453296e-16
311,166829680.0,7.164155e-15
312,762994.0,2.591932e-17
313,138570990.0,5.9494785e-15
314,48299490.0,2.069235e-15
315,263855470000.0,1.1341595e-11
316,341046820.0,1.4652728e-14
317,1506549.1,5.78804e-17
318,250413450000.0,1.0763801e-11
