Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
14,dave98,"jul 13th, 2020 1:26 pm","june 29, 2020","jul 14th, 2020 5:27 pm",computers & electronics,47.99,30,30% off,amazon.ca,peripherals & accessories,ravpower gan 90w 2-port pd usbc fast charger - $47.99,5417,13
15,sohsay,"jul 14th, 2020 12:25 pm","july 1, 2020","jul 14th, 2020 4:59 pm",kids & babies,$19.97,5,_nan_,hsbc,school supplies,"$1.25 each - 64 crayons, 24 pencils, 8 stick glue",1426,8
16,petercxc,"jul 1st, 2020 10:52 am","august 1, 2020","jul 14th, 2020 4:38 pm",entertainment,$23,94,pm,amazon.ca,"books, music, movies, magazines","dudios true wireless earbuds, stereo in-ear bluetooth 5.0 mini earphone -$23",26934,39
17,koukimonster,"jul 6th, 2020 7:12 pm","august 31, 2020","jul 14th, 2020 4:12 pm",financial services,$28,7,~42% off,royal bank,credit cards,westjet credit card 2x rewards on groceries & restaurants,2117,5
18,niffler,"jul 14th, 2020 3:54 pm","october 31, 2020","jul 14th, 2020 4:08 pm",travel,9.97,3,100%,td first class visa infinite,other,[ymmv] free $50 e-gift card from td/ugo,1522,1
19,lifeisfuneh,"jun 30th, 2020 8:25 am","july 13, 2020","jul 14th, 2020 3:56 pm",computers & electronics,379.99,49,up to 42%,uber eats,cameras,"waterproof modular action camera insta360 twin edition one r 360+4k mod c$518 tax in, free stick + free s/h by dhl",10001,12
20,moronicalgenius,"jul 13th, 2020 7:54 pm","july 27, 2020","jul 14th, 2020 3:27 pm",home & garden,269,12,$10 off,rens pets depot,pets,$10 off at ren's pets,1431,3
21,bishop8,"jul 13th, 2020 2:15 pm","august 3, 2020","jul 14th, 2020 3:26 pm",computers & electronics,99.99,10,$90,london drugs,home theatre & audio,anker spirit x2,5818,5
22,el'ation,"jun 15th, 2020 12:52 pm",_nan_,"jul 14th, 2020 3:07 pm",kids & babies,$15,119,$6 off,costco,groceries,costco.ca free-range argentinian beef $79.99 - $99.99,23223,-6
23,dagiles22,"jun 17th, 2020 11:42 am","july 15, 2020","jul 14th, 2020 2:32 pm",computers & electronics,40.50 +tax,43,10% w byod,lululemon,cell phones,cityfone $45 - 6gb unlimited can calling + texting,11235,2
